﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:6E7oFW7xTK6Ghucsq6tMUj,Emergency,Icona Pop,Emergency EP,1,1,169617,spotify:user:1299858245,2015-10-01T07:24:46Z
spotify:track:5cR7culxUEPLhzIC0KWAH1,Perdoname,"Deorro, DyCy, Adrian Delgado",Perdoname,1,1,270053,spotify:user:1299858245,2015-10-06T23:19:33Z
spotify:track:0yVeZWpOsXabCyxSfHBII3,Lone Digger,Caravan Palace,Lone Digger - Single,1,1,229804,spotify:user:1299858245,2015-10-09T03:33:32Z
spotify:local:Sabrepulse::Love+Swing:170,Love Swing,Sabrepulse,,0,0,170000,spotify:user:1299858245,2015-10-09T03:45:35Z
spotify:track:0ENSn4fwAbCGeFGVUbXEU3,Hello,Adele,Hello,1,1,295493,spotify:user:1299858245,2015-11-02T05:53:39Z
spotify:track:6J07Aeq7fOW5Xx9mFtwyoH,Oft gefragt,AnnenMayKantereit,Wird schon irgendwie gehen,1,5,178721,spotify:user:1299858245,2015-11-17T02:13:05Z
spotify:track:1wYZZtamWTQAoj8B812uKQ,Here,Alessia Cara,Know-It-All (Deluxe),1,2,199453,spotify:user:1299858245,2015-12-27T10:05:18Z
spotify:track:5Ph2oeskX0U9IwhsBY2zKj,Fire,Gavin DeGraw,Finest Hour: The Best of Gavin DeGraw,1,10,228520,spotify:user:1299858245,2016-01-12T00:55:13Z
spotify:track:5UtRpIn3CP97VYVTSoTUUi,Afraid of the Dark,MKTO,Bad Girls EP,1,2,196026,spotify:user:1299858245,2016-01-19T01:22:58Z
spotify:track:25zLLjV2rWcOJwP7yUQIww,Making Me Nervous,Brad Sucks,I Don't Know What I'm Doing,1,1,159240,spotify:user:1299858245,2016-01-27T04:13:48Z
spotify:track:1EKS9Hd3S5E4omE43acvsi,Coming Back,Dean Ray,Dean Ray,1,1,197320,spotify:user:1299858245,2016-02-10T01:44:05Z
spotify:track:1oTPwGPqIRkJeTYAMmXF2W,Desire,Years & Years,Communion,1,9,206773,spotify:user:1299858245,2016-02-19T04:38:24Z
spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,Blurryface,1,2,202333,spotify:user:1299858245,2016-02-19T04:43:31Z
spotify:track:42ftjU4cTN5UTRksyqBKZJ,Cake By The Ocean,DNCE,SWAAY,1,1,218440,spotify:user:1299858245,2016-02-19T04:46:07Z
spotify:track:4GITtbZtRCQXhWLMXrWXHt,Roots,Imagine Dragons,Roots,1,1,174506,spotify:user:1299858245,2016-02-19T05:00:11Z
spotify:track:5LZQ5s0kRZS9nBSd1xLK7U,Trndsttr,"Black Coast, M. Maggie, Lucian",Trndsttr (feat. M. Maggie) [Lucian Remix],1,1,179658,spotify:user:1299858245,2016-03-01T05:23:51Z
spotify:track:1cOyWWUr3oXJIxY0AjJEx9,YOUTH,Troye Sivan,Blue Neighbourhood (Deluxe),1,10,185194,spotify:user:1299858245,2016-03-03T06:51:08Z
spotify:track:34oFblvtTvOwbBbFks85xy,Seasons,Olly Murs,Never Been Better (Deluxe),1,5,217253,spotify:user:1299858245,2016-03-09T07:38:43Z
spotify:track:6Zo3wgDE076K2AuiGZF3CS,Fun,"Pitbull, Chris Brown",Globalization,1,2,202306,spotify:user:1299858245,2016-03-16T07:37:41Z
spotify:track:0rCuRc07y6l1kPYj0JSRg5,Angels - Radio Edit,"Vicetone, Kat Nestel",Angels (Radio Edit),1,1,214325,spotify:user:1299858245,2016-03-27T23:39:48Z
spotify:track:23eUnTrHxVd4RNnramhnRA,Trust You,Rob Thomas,The Great Unknown,1,2,188373,spotify:user:1299858245,2016-03-27T23:45:01Z
spotify:track:5mCprFWOqe0jB96v9RhLBo,Tongues,"Joywave, KOPPS",How Do You Feel Now?,1,3,234773,spotify:user:1299858245,2016-03-29T04:13:38Z
spotify:track:4R8jeIKMwKam9a0Bo8hDBw,Run Run Run,Celeste Buckingham,Don't Look Back (cancelled),1,4,224000,spotify:user:1299858245,2016-04-01T01:52:23Z
spotify:track:3lPr8ghNDBLc2uZovNyLs9,Supermassive Black Hole,Muse,Black Holes And Revelations (Updated 09 version),1,3,212439,spotify:user:1299858245,2016-04-13T01:55:14Z
spotify:track:2Wc2tcQl7cPetPKeXH3GD3,East of Eden,Zella Day,Kicker,1,5,186213,spotify:user:1299858245,2016-04-13T07:58:58Z
spotify:track:69Pfc2fTVYIxLLFgsFXqjg,Long Way Down,Robert DeLong,In The Cards,1,2,233760,spotify:user:1299858245,2016-04-21T01:49:29Z
spotify:track:2CR0gZqFCAoE19LWXXD9ii,Midnight,Caravan Palace,<I°_°I>,1,7,205825,spotify:user:1299858245,2016-05-10T03:16:12Z
spotify:track:5l0LBEguSUrZD6qKAnkTXq,Sinner,Andy Grammer,Magazines Or Novels,1,8,220727,spotify:user:1299858245,2016-05-24T06:59:07Z
spotify:track:2y15mLds58FIqfPeYdFkaI,Underdogs,Benjamin,Fingerprints,1,9,173440,spotify:user:1299858245,2016-06-17T23:50:30Z
spotify:track:3Q7Fhds0twd9SAHrcGTwYL,Don't Sing,"Data, Benny Sings",Don't Sing,1,1,254871,spotify:user:1299858245,2016-08-11T01:21:27Z
spotify:track:25mGme1ZhoHHV3HovOY47p,Can It Be You?,North of Nine,Can It Be You?,1,1,187293,spotify:user:1299858245,2016-09-02T04:03:29Z
spotify:track:56WkfBKWfbvauMgeK8nivR,Vampire,Nitemayor,Vampire,1,1,214640,spotify:user:1299858245,2016-09-08T23:10:53Z
spotify:track:2awGKnr0saaZHGJQ8bAQdC,How I Want Ya,"Hudson Thames, Hailee Steinfeld",Lip Tricks,1,3,178160,spotify:user:1299858245,2016-09-11T09:51:02Z
spotify:track:3kyKXxtCw2Bt23zXAGfkf1,Twenty-Something,Kiri T,Twenty-Something (Lucian Remix),1,1,221805,spotify:user:1299858245,2016-09-21T23:40:06Z
spotify:track:3F4M4IaluOCuLto737CRXq,Closer,"Lemaitre, Jennie A.",Closer,1,1,271653,spotify:user:1299858245,2016-09-25T22:12:11Z
spotify:track:47zREtxQZ3cHHIZwUQnuuN,Never Be Like You,"Flume, kai",Skin,1,2,233337,spotify:user:1299858245,2016-09-25T22:15:29Z
spotify:track:39rqDP2s2hN1JtXptyeM3u,Ignite,Zedd,Ignite (2016 League Of Legends World Championship),1,1,195466,spotify:user:1299858245,2016-09-28T22:30:20Z
